"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"680015060480077825","680013195378049024","177116339","2015-12-24 13:19:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia belive me no 1 knows better than me that how not fast they are,I am experiencing it.But Atleast a status is expected from thm","","","",""
"680013581035765760","680013048166354944","177116339","2015-12-24 13:14:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia but no have has given any update to me on this that when it is going to get closed","","","",""
"680012440961064961","680011558517379072","177116339","2015-12-24 13:09:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia Atleast tell me now 
Is there is any progress on this issue..is this a professionalism shown by global brand like philips?","","","",""
"680011409724325889","679899301519097856","177116339","2015-12-24 13:05:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia  really its shocking to see that even the ppl at ut level are taking so much time to even find out status of this issue","","","",""
"680011304078147584","679920626941870080","883985880","2015-12-24 13:05:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PhilipsTVsIndia  really its shocking to see that even the ppl at ut level are taking so much time to even find out status of this issue","","","",""
"680011152030437376","679942548647972865","319078159","2015-12-24 13:04:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PhilipsCare really its shocking to see that even the ppl at ut level are taking so much time to even find out status of this issue","","","",""
"679944884770349056","679942548647972865","319078159","2015-12-24 08:41:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PhilipsCare I would like to highlight that there is already 10 reminders on this issue .pls follow up it on priroty","","","",""
"679898251802193920","679738948806160384","319078159","2015-12-24 05:35:49 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PhilipsCare  sir Pls can you look into this on priority as I am getting freaked out seeing no action or update","","","",""
"679898088626991104","","177116339","2015-12-24 05:35:10 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia sir Pls can you look into this on priority as I am getting freaked out seeing no action or update","","","",""
"679897993529536513","679712923829157888","177116339","2015-12-24 05:34:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@philipsindia sir Pls can you look into this on priority as I am getting freaked out seeing no action or update","","","",""
